Artistas,Composición,Género,Nacionalidad,Género musical,Debut
Zhu,Solista,M,Estados Unidos,Electrónica,2014
Zsanchos,Solista,M,Chile,Electrónica,2007
Bomba Estéreo,Banda,Mixto,Colombia,Electrónica,2005
Crystal Castles,Banda,Mixto,Canadá,Electrónica,2006
Die Antwoord,Banda,Mixto,Sudráfica,Electrónica,2008
Kali Mutsa,Banda,Mixto,Chile,Electrónica,2011
MKRNI,Banda,Mixto,Chile,Electrónica,2008
PerryEtty vs Chris Cox,Banda,Mixto,Estados Unidos,Electrónica,2010
Systema Solar,Banda,Mixto,Colombia,Electrónica,2006
The XX,Banda,Mixto,reino Unido,Electrónica,2005
Tiesto,Solista,NB,Países Bajos,Electrónica,1994
Kames Hype,Solista,M,Reino Unido,Electrónica,2017
Meduza,Banda,M,Italia,Electrónica,2019
MK,Solista,M,Estados Unidos,Electrónica,1993
3x7 Veintiuna,Banda,M,Chile,Folk,2005
Cat Power,Solista,F,Estados Unidos,Folk,1990
Laia,Banda,F,Chile,Folk,2018
Natalia Contesse,Solista,F,Chile,Folk,2011
Totó La Momposina,Solista,F,Colombia,Folk,1964
Amahiro,Banda,M,Chile,Folk,2012
Benjamin Walker,Solista,M,Chile,Folk,2014
Boraj,Banda,M,Chile,Folk,2014
Devendra Banhart,Solista,M,Estados Unidos,Folk,2002
Elkin Robinson,Solista,M,Colombia,Folk,2010
Enrique Icka,Solista,M,Chile,Folk,2007
Haumoana,Solista,M,Chile,Folk,2016
HopPo!,Banda,M,Chile,Folk,2010
Hozier,Solista,M,Irlanda,Folk,2013
Inti-Illimani Histórico,Banda,M,Chile,Folk,2004
Laguna y el R'io,Banda,M,Chile,Folk,2018
Manuel Garcia,Solista,M,Chile,Folk,2004
Muerdo,Solista,M,España,Folk,2011
Mumford & sons,Banda,M,Reino Unido,Folk,2007
Nano Stern,Solista,M,Chile,Folk,2006
Perrosky,Banda,M,Chile,Folk,2001
Pol del sur,Solista,M,Chile,Folk,2010
Prehistöricos,Banda,Mixto,Chile,Folk,2010
Orixangó,Banda,Mixto,Chile,Folk,2012
Pulenta,Banda,M,Colombia,Funk,2011
Remi Wolf,Solista,F,Estados Unidos,Funk,2019
De Kiruza,Banda,M,Chile,Funk,1984
Los frutantes,Banda,M,Chile,Funk,2017
MC Kevinho,Solista,M,Brasil,Funk,2016
Balthvs,Banda,Mixto,Colombia,Funk,2019
Red Bull Batalla,Banda,M,Internacional,Hip-hop/rap,2005
Anita Dinamita,Solista,F,Chile,Hip-hop/rap,2017
Anita Tijoux,Solista,F,Chile,Hip-hop/rap,1997
Catana,Solista,F,Chile,Hip-hop/rap,2018
Doja Cat,Solista,F,Estados Unidos,Hip-hop/rap,2014
Flor de Rap,Solista,F,Chile,Hip-hop/rap,2010
Mala Rodríguez,Solista,F,España,Hip-hop/rap,1996
Nathy Peluso,Solista,F,España,Hip-hop/rap,2020
Nicki Nicole,Solista,F,Argentina,Hip-hop/rap,2019
Seamoon,Solista,F,Chile,Hip-hop/rap,2020
Alemán,Solista,M,México,Hip-hop/rap,2014
Macklemore,Solista,M,Estados Unidos,Hip-hop/rap,2000
Post Malone,Solista,M,Estados Unidos,Hip-hop/rap,2015
Tiro de Gracia,Banda,M,Chile,Hip-hop/rap,1993
8Monkys,Banda,M,Chile,Hip-hop/rap,2015
ASAP Rocky,Solista,M,Estados Unidos,Hip-hop/rap,2011
Bresh,Solista,M,Italia,Hip-hop/rap,2012
Cease,Solista,M,Chile,Hip-hop/rap,2011
Chance the rapper,Solista,M,Estados Unidos,Hip-hop/rap,2012
Channel Tres,Solista,M,Estados Unidos,Hip-hop/rap,2018
Chystemc,Solista,M,Chile,Hip-hop/rap,1998
Código Abierto,Banda,M,Chile,Hip-hop/rap,2022
Cómo asesinar a Felipes,Banda,M,Chile,Hip-hop/rap,2007
Cypress Hill,Banda,M,Estados Unidos,Hip-hop/rap,1988
Dante Spinetta,Solista,M,Argentina,Hip-hop/rap,1991
Dillom,Solista,M,Argentino,Hip-hop/rap,2018
DJ Tee,Solista,M,Chile,Hip-hop/rap,1983
Drake,Solista,M,Canadá,Hip-hop/rap,2006
Eminem,Solista,M,Estados Unidos,Hip-hop/rap,1988
G-Eazy,Solista,M,Estados Unidos,Hip-hop/rap,2014
Hordatoj,Solista,M,Chile,Hip-hop/rap,2009
Jack Harlow,Solista,M,Estados Unidos,Hip-hop/rap,2020
Jefe Indio,Solista,M,Chile,Hip-hop/rap,2010
Jovanotti,Solista,M,Italia,Hip-hop/rap,1988
JPEGMafia,Solista,M,Estados Unidos,Hip-hop/rap,2007
Kanto,Solista,M,Corea del Sur,Hip-hop/rap,2013
Kanye West,Solista,M,Estados Unidos,Hip-hop/rap,1996
Kendrick Lamar,Solista,M,Estados Unidos,Hip-hop/rap,2010
La pozze Latina,Banda,M,Chile,Hip-hop/rap,1991
Lil Nas X,Solista,M,Estados Unidos,Hip-hop/rap,2018
Liricistas,Banda,M,Chile,Hip-hop/rap,2002
LosPetitFellas,Banda,M,Colombia,Hip-hop/rap,2013
Machine Gun Kelly,Solista,M,Estados Unidos,Hip-hop/rap,2012
MC Billeta,Solista,M,Chile,Hip-hop/rap,2011
MC Piri,Solista,M,Chile,Hip-hop/rap,2008
Movimiento Original,Banda,M,Chile,Hip-hop/rap,2006
Nas,Solista,M,Estados Unidos,Hip-hop/rap,1994
Nsqk,Solista,M,México,Hip-hop/rap,2020
Portavoz,Solista,M,Chile,Hip-hop/rap,2005
RVSB,Banda,M,Chile,Hip-hop/rap,2013
Sick Jacken & Sen Dog,Banda,M,Estados Unidos,Hip-hop/rap,1988
Stailok,Solista,M,Chile,Hip-hop/rap,2006
Tinie Tempah,Solista,M,Reino Unido,Hip-hop/rap,2005
Wen Bros ,Banda,M,Chile,Hip-hop/rap,2024
Wiz Khalifa,Solista,M,Estados Unidos,Hip-hop/rap,2006
Zaturno,Solista,M,Chile,Hip-hop/rap,1995
Zonora point,Banda,M,Chile,Hip-hop/rap,2013
Los Pulentos,Banda,Mixto,Chile,Hip-hop/rap,2005
Verito Asprilla,Solista,F,Colombia,Hip-hop/rap,2023
Snoop Dog,Solista,M,Estados Unidos,Hip-hop/rap,1992
Ambar Luna,Solista,F,Chile,Hip-hop/rap,2020
Bonko Yotte,Solista,M,Chile,Hip-hop/rap,2012
Trueno,Solista,M,Argentina,Hip-hop/rap,2017
Kramer,Solista,M,Chile,Show,2002
Fármacos,Banda,M,Chile,Indie,2008
Of monsters and men,Banda,M,Islandia,Indie,2010
Bocho,Solista,M,Chile,Indie,2015
Phoebe Bridgers,Solista,F,Estados Unidos,Indie,2015
Homboldt,Banda,M,Chile,Indie,2015
Mac Demarco,Solista,M,Canadá,Indie,2012
Spoon,Banda,M,Estados Unidos,Indie,1993
The Neighbourdhood,Banda,M,Estados Unidos,Indie,2011
The Wombats,Banda,M,Reino Unido,Indie,2003
Tash Sultana,Solista,NB,Australia,Indie,2013
Cantando aprendo a hablar,Banda,F,Chile,Infantil,2012
Mazapán,Banda,F,Chile,Infantil,1980
31 Minutos,Banda,M,Chile,Infantil,2003
Achú,Banda,M,Chile,Infantil,2008
Cachureos,Banda,M,Chile,Infantil,1983
Cuchara,Solista,M,Chile,Infantil,
Heavysaurios,Banda,M,Argentina,Infantil,2012
Iron Lion,Banda,M,Chile,Infantil,2012
Los Mocosos,Banda,M,Argentina,Infantil,2012
Los Plumabits,Banda,M,Chile,Infantil,2007
Mosquitas Muertas,Banda,M,Chile,Infantil,2010
Tikitiklip,Banda,M,Chile,Infantil,2006
Babadú,Banda,Mixto,Chile,Infantil,2020
Despertando las neuronas,Banda,Mixto,Chile,Infantil,2016
Hola Flinko,Banda,Mixto,Chile,Infantil,2017
Mi perro Chocolo,Banda,Mixto,Chile,Infantil,2008
Ratoncitos dulces sueños,Banda,Mixto,Chile,Infantil,1991
School of Rock,Banda,Mixto,Chile ,Infantil,2015
La Ciscu Margaret,Banda,M,Chile,Infantil,2012
El musical de Fiu,Banda,M,Chile,Infantil,2023
Concierto Deltimbaltum,Banda,Mixto,Chile,Infantil,2024
Paz Court ,Solista,F,Chile,Jazz,2014
Kamasi Washington,Solista,M,Estados Unidos,Jazz,2004
Somos Manhattan,Banda,M,Chile,Jazz,2013
Tokyo Ska Paradise Orchestra,Banda,M,Japón,Jazz,1985
Aron,Solista,M,Corea del Sur,Kpop,2012
Astro,Banda,M,Corea del Sur,Kpop,2016
A Day to Remember,Banda,M,Estados Unidos,Metal,2003
Deftones,Banda,M,Estados Unidos,Metal,1988
Mass Metal,Banda,M,Estados Unidos,Metal,1981
Metallica,Banda,M,Estados Unidos,Metal,1981
Mundano,Banda,M,Chile,Metal,1998
Sepultura,Banda,M,Brasil,Metal,1984
Tool,Banda,M,Estados Unidos,Metal,1989
Volbeat,Banda,M,Dinamarca,Metal,2001
Limp Bizkit,Banda,Mixto,Estados Unidos,Metal,1997
Orquesta FACh,Banda,Mixto,Chile,Música clasica,1943
Fundación Orquesta Juveniles e Infantiles,Banda,Mixto,Chile,Música clasica,1991
Vicente Cinfuentes,Solista,M,Chile,Pop,2017
Nessa Barret,Solista,F,Estados Unidos,Pop,2020
Rosalia,Solista,F,España,Pop,2017
Alessia Cara,Solista,F,Canadá,Pop,2014
Aurora,Solista,F,Noruega,Pop,2012
Billie Eilish,Solista,F,Estados Unidos,Pop,2015
Bratty,Solista,F,México,Pop,2017
Cami,Solista,F,Chile,Pop,2016
Camila Cabello,Solista,F,Estados Unidos,Pop,2017
Carla Morrison,Solista,F,México,Pop,2009
Clairo,Solista,F,Estados Unidos,Pop,2017
Cancamusa,Solista,F,Chile,Pop,2020
Denisse Rosenthal,Solista,F,Chile,Pop,2006
Dulce y Agraz,Solista,F,Chile,Pop,2015
Ellie Goulding,Solista,F,Reino Unido,Pop,2009
Elsa y Elmar,Solista,F,Colombia,Pop,2012
Fletcher,Solista,F,Estados Unidos,Pop,2015
Francisca Valenzuela,Solista,F,Chile,Pop,2006
Gale,Solista,F,Puerto Rico,Pop,2016
Halsey,Solista,F,Estados Unidos,Pop,2014
iLe,Solista,F,Puerto Rico,Pop,2016
Isa Rojas,Solista,F,Chile,Pop,2015
Jain,Solista,F,Francia,Pop,2015
Javiera Mena,Solista,F,Chile,Pop,2006
Kali Uchis,Solista,F,Estados Unidos,Pop,2012
Karla Grunewaldt,Solista,F,Chile,Pop,2018
Kenia Os,Solista,F,México,Pop,2018
