Artistas,Composición,Género,Nacionalidad,Género musical,Debut
Deorro,Solista,M,Estados Unidos,Electrónica,2012
Deorro,Solista,M,Estados Unidos,Electrínica,2012
Despertando las neuronas,Banda,Mixto,Chile,Infantil,2016
Devendra Banhart,Solista,M,Estados Unidos,Folk,2002
Devil Presley,Banda,M,Chile,Rock,2005
Dezco,Solista,M,Colombia,Electrónica,2021
Diamante Eléctrico,Banda,M,Colombia,Rock,2012
Die Antwoord,Banda,Mixto,Sudráfica,Electrónica,2008
Dillom,Solista,M,Argentino,Hip-hop/rap,2018
Dillon Francis,Solista,M,Estados Unidos,Electrónica,2011
Dimitri Vegas & Like Mike,Banda,M,Bélgica,Electrónica,2007
Dion,Solista,M,Estados Unidos,Rock,1957
Diplo,Solista,M,Estados Unidos,Trap,1997
Disco Lines,Solista,M,Estados Unidos,Electrónica,2019
DJ Caso,Solista,M,Chile,Electrónica,2010
DJ Marky,Solista,M,Estonia,Electrónica,1992
DJ Mel,Solista,M,Estados Unidos,Electrónica,2012
DJ NEA,Solista,F,Canadá,Electrónica,2010
DJ Raff,Solista,M,Chile,Electrónica,1992
DJ Snake,Solista,M,Francia,Electrónica,2009
DJ Tee,Solista,M,Chile,Hip-hop/rap,1983
DJ Tressor,Solista,M,Chile,Electrónica,2010
DJ Who,Solista,M,Chile,Electrónica,2000
Doja Cat,Solista,F,Estados Unidos,hip-hop/rap,2014
Dom Dolla,Solista,M,Australia,Electrónica,2013
Dombresky,Solista,M,Francia,Elecrónica,2016
Don Diablo,Solista,M,Países Bajos,Electrónica,2003
Donavon Frankenreiter,Solista,M,Estados Unidos,Rock,2004
Dr. Vena,Banda,M,Chile,Rock,2012
Drake,Solista,M,Canadá,hip-hop/rap,2006
Drear mar I,Solista,M,Argentina,Reggae,2005
Drefquila,Solista,M,Chile,Trap,2014
Drunvaloop,Solista,M,Chile,Electrónica,2010
DT.Bilardo,Solista,M,Argentina,Cumbia,2019
Duke Dumont,Solista,M,Reino Unido,Electrónica,2013
Dulce y Agraz,Solista,F,Chile,Pop,2015
Duran Duran,Banda,M,Reino Unido,Rock,1978
Eagles of death metal,Banda,M,Estados Unidos,Rock,1998
Easykid,Solista,M,Chile,Trap,2017
Edward Sharpe and the Magnetic Zeros,Banda,Mixto,Estados Unidos,Alternativa ,2005
Ego Kill Talent,Banda,M,Brasil,Rock,2014
El Búho,Solista,M,Reino Unido,Electrónica,2012
El cruce,Banda,M,Chile,Rock,1999
El Kuelgue,Banda,M,Argentina,Rock,2004
El Malilla,Solista,M,México,Reggaeton,2020
Él mató a un policía motorizado,Banda,M,Argentina,Rock,2003
El musical de Fiu,Banda,M,Chile,Show teatral,2023
El significado de las flores,Banda,Mixto,Chile,Rock,2020
El Sueño de la Casa Propia,Solista,M,Chile,Electrónica,2006
Electrodomésticos,Banda,M,Chile,Rock,1984
Elena Rose,Solista,F,Estados Unidos,R&B,2019
Elkin Robinson,Solista,M,Colombia,Folk,2010
Ellie Goulding,Solista,F,Reino Unido,Pop,2009
Elsa y Elmar,Solista,F,Colombia,Pop,2012
Eminem,Solista,M,Estados Unidos,Hip-hop/rap,1988
Empire of the Sun,Banda,M,Australia,Electrónica,2007
Enrique Icka,Solista,M,Chile,Folk,2007
Entrópica,Solista,F,Chile,Electrónica,2013
Esteman,Solista,M,Colombia,Pop,2009
Estoy Bien,Banda,Mixto,Chile,Ponk,2020
FaceBrooklyn,Solista,M,Chile,Reggaetón,2021
Familia Chilenita Del Funk,Banda,M,Chile,Rock,1994
Fantasna,Solista,M,Chile,Electrónica,2010
Fármacos,Banda,M,Chile,Indie,2008
Fat Pablo,Solista,M,Chile,Electrónica,2012
Fatboy Slim,Solista,M,Reino Unido,DJ,1981
Feed me,Solista,M,Reino Unido,Electrónica,2011
Feid,Solista,M,Colombia,Reggaton,2015
Fernanda Arrau,Solista,F,Chile,Electrónica,2010
Fernando Milagros,Solista,M,Chile,Rock,2007
Fischerspooner,Banda,M,Estados Unidos,Electrónica,1998
Fisher,Solista,M,Australia,Electrónica,2017
Fiskales Ad-Hok,Banda,M,Chile,Punk rock,1987
Flak,Solista,M,Chile,Electrónica,2010
Fletcher,Solista,F,Estados Unidos,Pop,2015
Flor de Rap,Solista,F,Chile,Hip-hop/rap,2010
Florcita Motuda,Solista,M,Chile,Rock,1977
Florence and the machine,Banda,Mixto,Reino Unido,Rock,2007
Florian,Solista,M,Argentina,Pop,2019
Flosstradamus,Solista,M,Estados Unidos,Electrónica,2007
Flume,Solista,M,Australia,Electrónica,2011
Flux Pavilion,Solista,M,Reino Unido,Electrónica,2011
Foals,Banda,M,Reino Unido,Rock,2005
Föllakzoid,Banda,Mixto,Chile,Rock,2008
Föllakzoid,Banda,Mixto,Chile,Rock,2007
Foo Fighters,Banda,M,Estados Unidos,Rock,1994
Foster the People,Banda,M,Estados Unidos,Rock,2009
Fother Muckers,Banda,M,Chile,Rock,2005
Fractal,Banda,M,Chile,R&B,1992
Francisca Valenzuela,Solista,F,Chile,Pop,2006
Francisco Victoria,Solista,M,Chile,Pop ,2018
Francisco Victoria,Solista,M,Chile,Pop,2018
