Artistas,Composición,Género,Nacionalidad,Género musical,Debut
Föllakzoid,Banda,Mixto,Chile,Rock,2007
Foo Fighters,Banda,M,Estados Unidos,Rock,1994
Foster the People,Banda,M,Estados Unidos,Rock,2009
Fother Muckers,Banda,M,Chile,Rock,2005
Fractal,Banda,M,Chile,R&B,1992
Francisca Valenzuela,Solista,F,Chile,Pop,2006
Frank´s white canvas,Banda,F,Chile,Rock ,2015
Franz Ferdinand,Banda,M,Reino Unido,Rock,2001
Friendly Fires,Banda,M,Reino Unido,Rock,2006
Fundación Orquesta Juveniles e Infantiles,Banda,Mixto,Chile,Música clásica,1991
G-Eazy,Solista,M,Estados Unidos,Hip-hop/rap,2014
Galantis,Banda,M,Suecia,Electrónica,2012
Gary Clark Jr.,Solista,M,Estados Unidos,Blues,2010
Gentleman,Solista,M,Alemania,Reggae,1998
Gepe,Solista,M,Chile,Pop,2004
Ghost,Banda,M,Suecia,Rock,2006
Ghostland Observatory,Banda,M,Estados Unidos,Rock,2004
GianLuca,Solista,M,Chile,Trap,2017
Glass Animals,Banda,M,Reino Unido,Pop,2010
Gogol Bordello,Banda,Mixto,Estados Unidos,Punk,1999
Goldenrat,Banda,M,Chile,Rock,2015
Gondwana,Banda,M,Chile,Reggae,1987
Gramatik,Solista,M,Eslovenia,Electrónica,2008
Green Valey,Banda,M,España,Reggae,2004
Greta Van Fleet,Banda,M,Estados Unidos,Rock,2012
Griz,Solista,M,Estados Unidos,Electrónica,2011
Gryffin,Solista,M,Estados Unidos,Electrónica,2014
GTA,Banda,M,Estados Unidos,Electrónica,2010
Gush,Banda,Mixto,Francia,Rock,2004
Gustavo Cordera,Solista,M,Argentina,Rock,2009
Halsey,Solista,F,Estados Unidos,Pop,2014
Hardwell,Solista,M,Países Bajos,Electrónica,2009
Haumoana,Solista,M,Chile,Folk,2016
Hausi Kuta,Banda,M,Chile,Rock,
Heavysaurios,Banda,M,Argentina,Infantil,2012
Hedo,Solista,M,Chile,Electrónica,
Hielo Negro,Banda,M,Chile,Rock,1997
Hippie Sabotage,Banda,M,Estados Unidos,Electrónica,2013
Homboldt,Banda,M,Chile,Indie rock,2015
HopPo!,Banda,M,Chile,Folk,2010
Hordatoj,Solista,M,Chile,Hip-hop/rap,2009
Hot chip,Banda,M,Reino Unido,Electrónica,2000
iLe,Solista,F,Puerto Rico,Pop,2016
Illya Kuryaki & The Valderramas,Banda,M,Argentina,Rock,1991
Imagine Dragons,Banda,M,Estados Unidos,Rock,2008
Interpol,Banda,M,Estados Unidos,Rock,1997
Inti Illimani,Banda,M,Chile,Tropical,1967
Inti-Illimani Histórico,Banda,M,Chile,Folk,2004
Intimate stranger,Banda,Mixto,Chile,Rock,2003
Iron Lion,Banda,M,Chile,Infantil,2012
Isa Rojas,Solista,F,Chile,Pop,2015
Ital,Solista,M,Chile,Electrónica,
Jack Novak,Solista,F,Estados Unidos,Electrónica,2015
Jack Ü,Banda,M,Estados Unidos,Electrónica,2013
Jack White,Solista,M,Estados Unidos,Rock,2012
Jain,Solista,F,Francia,Pop,2015
Jake Bugg,Solista,M,Inglaterra,Rock,2011
James,Banda,M,Reino Unido,Rock,1982
Jane´s Addiction,Banda,M,Estados Unidos,Rock,1985
Javiera Mena,Solista,F,Chile,Pop,2006
Javiera y Los Imposibles,Banda,Mixto,Chile,Pop,1933
Jean Paul Olhaberry,Solista,M,Chile,Show de Magia,2004
Jefe Indio,Solista,M,Chile,Hip-hop/rap,2010
Jet Lag,Banda,M,Argentina,Pop rock,2002
Jiminelson,Solista,M,Estados Unidos,R&B,2004
Jimmy eat world,Banda,M,Estados Unidos,Rock,1993
Joachim Garraud,Solista,M,Francia,Electrónica,1988
Joan Jett & The Blackhearts,Banda,Mixto,Estados Unidos,Rock,1981
Joe Vasconcellos,Solista,M,Chile,R&B,1995
Johnny Marr,Solista,M,Reino Unido,Rock,2013
Jordan Ferrer,Solista,M,Chile,Electrónica,
Jorge González,Solista,M,Chile,Rock,2001
Jorja Smith,Solista,F,Reino Unido,R&B,2016
Jovanotti,Solista,M,Italia,Hip-hop/rap,1988
Juana Fe,Banda,M,Chile,Cumbia,2004
Juanes,Solista,M,Colombia,Rock,2000
Julian Casablancas,Solista,M,Estados Unidos,Rock,2009
Julio Victoria,Solista,M,Colombia,Electrónica,2010
Julius Popper,Banda,M,Chile,Rock,2005
Jungle,Banda,M,Reino Unido,Electrónica,2014
Kaiser Chiefs,Banda,M,Reino Unido,Rock,2000
Kaleema,Solista,F,Argentina,Electrónica,2015
Kaleo,Banda,M,Islandia,Rock ,2012
Kali Mutsa,Banda,Mixto,Chile,Electrónica,2011
Kamasi Washington,Solista,M,Estados Unidos,Jazz,2004
Kanye West,Solista,M,Estados Unidos,Hip-hop/rap,1996
Kapitol,Banda,M,Chile,Pop,
Kasabian,Banda,M,Reino Unido,Rock,1997
Kaskade,Solista,M,Estados Unidos,Electrónica,2001
Kaskade,Solista,M,Estados Unidos,Electrónica,2001
Keane,Banda,M,Reino Unido,Rock,1995
Keko yoma,Banda,M,Chile,Rock,2004
Kendrick Lamar,Solista,M,Estados Unidos,Hip-hop/rap,2010
Khalid,Solista,M,Estados Unidos,R&B,2016
Khea,Solista,M,Argentina,Trap,2017
Kid Cudi,Solista,M,Estados Unidos,Electrónica,2007
Kidd Keo,Solista,M,España,Trap,2015
Kill the Noise,Solista,M,Estados Unidos,Electrónica,2015
Kings Of Leon,Banda,M,Estados Unidos,Rock,1999
Krewella,Banda,F,Estados Unidos,Electrónica,2012
KSHMR,Solista,M,Estados Unidos,Electrónica,2014
Kuervos del sur,Banda,M,Chile,Rock,2003
Kungs,Solista,M,Francia,Electrónica,2016
Kygo,Solista,M,Noruega,Electrónica,2014
La Ciscu Margaret,Banda,M,Chile,Orquesta Clown,2012
La floripondio,Banda,M,Chile,Punk,1990
La Guacha,Banda,Mixto,Chile,Pop,2010
La Mala Senda,Banda,M,Chile,Rock,2008
La pozze Latina,Banda,M,Chile,Hip-hop/rap,1991
La vela puerca,Banda,M,Uruguay,Rock,1995
Lana del Rey,Solista,F,Estados Unidos,Pop,2010
Lance Herbstrong,Solista,M,Estados Unidos,Electrónica,2012
Lany,Banda,M,Estados Unidos,Pop,2014
Las Pelotas,Banda,M,Argentina,Rock,1988
Latin Bitman,Solista,M,Chile,Electrónica,2007
Latin Bitman,Solista,M,Chile,Electrónica,2000
LCD Soundsystem,Banda,M,Estados Unidos,Electrónica,2002
Lenny Kravitz,Solista,M,Estados Unidos,Rock,1989
Lguna y el rio,Banda,M,Chile,Folk,
Liam Gallaguer,Solista,M,Reino Unido,Rock,2017
Lilits,Banda,F,Chile,Rock,2004
Liricistas,Banda,M,Chile,Hip-hop/rap,2002
López,Banda,M,Chile,Rock,2014
Lorde,Solista,F,Nueva Zelanda,Pop,2008
Los Bunkers,Banda,M,Chile,Rock,1999
Los Fi,Banda,M,Chile,Rock ,
Los frutantes,Banda,M,Chile,Funk,
Los Jaivas,Banda,M,Chile,Rock,1963
Los Plumabits,Banda,M,Chile,Infantil,2007
Los Pulentos,Banda,Mixto,Chile,Hip-hop/rap,2005
Los Rockers,Banda,M,Chile,Rock and Roll,1961
Los tres,Banda,M,Chile,Rock,1987
Loud Luxury,Banda,M,Canadá,Electrónica,2012
Louis the child,Banda,M,Estados Unidos,Electrónica,2013
Lucybell,Banda,M,Chile,Rock,1991
Lumumba,Banda,M,Argentina,Reggae,1996
Mac Demarco,Solista,M,Canadá,Indie rock,2012
Macklemore,Solista,M,Estados Unidos,Hip hop,2000
Macky Banton,Solista,M,Reino Unido,Reggae,2013
Mad Professor,Solista,M,Guyana,Reggae,1982
Magaly Fields,Banda,M,Chile,Rock and Roll,2011
Magic Twins,Banda,M,Chile,Show de Magia,2003
Maho Oli,Solista,M,Chile,Show de Magia,2012
Major Lazer,Solista,M,Estados Unidos,Reggae,2009
Mala Rodríguez,Solista,F,España,Hip-hop/rap,1996
Malenie Ribbe,Solista,F,Alemania,Electrónica,2015
Manu Da Banda,Banda,Mixto,Chile,Reggae,2009
Manuel Garcia,Solista,M,Chile,Folk,2004
Marcelo d2,Solista,M,Brasil,Samba-rap,1995
Maria Magdalena,Solista,F,Chile,Electrónica,2013
Mariel Mariel,Solista,F,Chile,Pop,2007
Marina and the diamonds,Solista,F,Inglaterra,Pop,2005
Marineros,Banda,F,Chile,Pop,2011
Marshmello,Solista,M,Estados Unidos,Electrónica,2015
Martin Garrix,Solista,M,Países Bajos,Electrónica,2012
Mass Metal,Banda,M,Estados Unidos,Metal,1981
Matanza,Banda,M,Brasil,Countrycore,2006
Matthew Koma,Solista,M,Estados Unidos,Pop,2007
Mawashi,Banda,M,Chile,Electrónica,
Maxi Trusso,Solista,M,Argentino,Electrónica,1998
Maxi Vargas,Solista,M,Chile,Reggae,
Mazapán,Banda,F,Chile,Infantil,1980
MC Billeta,Solista,M,Chile,Hip-hop/rap,2011
MC Kevinho,Solista,M,Brasil,Funk,2016
MC Piri,Solista,M,Chile,Hip-hop/rap,2008
Me llamo Sebastián,Solista,M,Chile,Pop,2010
Mecánico,Banda,M,Chile,Pop,2010
Melanie Martinez,Solista,F,Estados Unidos,Pop,2014
Metallica,Banda,M,Estados Unidos,Metal,1981
Metronomy,Banda,M,Reino Unido,Electrónica,1999
MGMT,Banda,M,Estados Unidos,Pop,2002
Mike Tompkins,Solista,M,Canadá,Pop,2009
Miss Garrison,Banda,Mixto,Chile,Punk,2009
Mistah Dijah,Solista,M,Chile,Reggae,2014
Mitu,Banda,M,Colombia,Electrónica,2012
MKRNI,Banda,Mixto,Chile,Electrónica,2008
MØ,Solista,F,Dinamarca,Pop,2013
Molotov,Banda,M,México,Rock,1995
Mon Laferte,Solista,F,Chile,Pop,2003
Monsieur Periné,Banda,Mixto,Colombia,Pop,2007
Moral Distraida,Banda,M,Chile,Salsa,2010
Morodo,Solista,M,España,Reggae,2001
Mosieur Periné,Banda,Mixto,Colombia,Pop,2007
Mosquitas Muertas,Banda,M,Chile,Infantil,2010
Movimiento Original,Banda,M,Chile,Hip-hop/rap,2006
Mumford & sons,Banda,M,Reino Unido,Folk,2007
Mundano,Banda,M,Chile,Metal,1998
Nação Zumbi,Banda,M,Brasil,Manguebeat,1994
Nano Stern,Solista,M,Chile,Folk,2006
Nas,Solista,M,Estados Unidos,Hip-hop/rap,1994
Natalia Contesse,Solista,F,Chile,Folk,2011
Natalia Lafourcade,Solista,F,España,Pop,2002
Nervo,Banda,F,Australia,Electrónica,2005
New Kids on the Noise,Banda,M,Chile,Electrónica,1984
New Orden,Banda,M,Reino Unido,Rock,1980
Newen Afrobeat,Banda,F,Chile,Afrobeat,2010
Nghtmre,Solista,M,Estados Unidos,Electrónica,2014
Nicky Romero,Solista,M,Países Bajos,Electrónica,2008
Nicola Cruz,Solista,M,Ecuador,Electrónica,2010
Nicole,Solista,M,Chile,Pop,1989
Nine Inch Nails,Banda,M,Estados Unidos,Rock,1988
Niño Cohete,Banda,M,Chile,Pop,2010
Noel Gallagher's,Solista,M,Reino Unido,Rock,1991
NOFX,Banda,M,Estados Unidos,Punk,1983
Oddó,Solista,M,Chile ,reggaeton,2015
Odesza,Banda,M,Estados Unidos,Electrónica,2012
Of monsters and men,Banda,M,Islandia,Indie,2010
Oh Margot!,Banda,M,Chile,Pop,2009
Oh Wonder,Banda,Mixto,Reino Unido,Pop,2014
Oliver Heldens,Solista,M,Países Bajos,Electrónica,2013
Omar Varela,Solista,M,Argentina,Electrónica,2015
Orixangó,Banda,Mixto,Chile,Tribal,2012
