Año,Artista,Composición,Género,nacionalidad,escenario,tiempo / escenario,headliner,Dia 
2014,31 minutos,Banda,Mixto,Chile,Kidzapalooza,45 minutos,No,Sabado
2014,31 minutos,Banda,Mixto,Chile,Kidzapalooza,45 minutos,No,domingo
2014,AFI,Banda,Masculino,Estados Unidos,Playstation Stage,60 minutos ,No,Sabado
2014,Alejandro Vivanco,Solista,Masculino,chile,LG G2 Stage,60 minutos,No,domingo
2014,Ana Tijoux,Solista,Femenino,chile,Coca Cola Stage,60 minutos,No,domingo
2014,Arcade Fire,Banda,Mixto,Estados Unidos,Coca Cola Stage,90 minutos,Si,domingo
2014,Axwell,Solista,Masculino,Suecia,LG G2 Stage,90 minutos,No,domingo
2014,Baauer,Solista,Masculino,Estados Unidos,LG G2 Stage,75 minutos,No,Sabado
2014,Banda Coca Cola FM,Banda,Masculino,Chile,Kidzapalooza,45 minutos,No,Sabado
2014,Cafe Tacvba,Banda,Masculino,Mexico,Claro Stage,60 minutos,No,Sabado
2014,Cage The Elephant,Banda,Masculino,Estados Unidos,Coca Cola Stage,60 minutos,no,Sabado
2014,Cantando aprendo a hablar,Banda,Mixto,chile,Kidzapalooza,45 minutos,No,Sabado
2014,Capital Cities,Banda,Masculino,Estados Unidos,Playstation Stage,60 minutos,No,Sabado
2014,Dr Vena,Banda,Masculino,Chile,Paris Stage,45 minutos,No,Sabado
2014,Ellie Goulding,Solista,Femenino,Reino Unido,Coca Cola Stage,75 minutos,no,Sabado
2014,Fat Pablo,Solista,Masculino,Chile,LG G2 Stage,60 minutos,No,Sabado
2014,Flume,Solista,Masculino,Australia,LG G2 Stage,60 minutos,No,Sabado
2014,Flux Pavilion,Solista,Masculino,Reino Unido,LG G2 Stage,60 minutos,No,domingo
2014,Francisca Valenzuela,Solista,Femenino,Chile,Playstation Stage,60 minutos,No,Sabado
2014,Hoppo!,Banda,Masculino,chile,Claro Stage,45 minutos,No,domingo
2014,Hordatoj,Solista,Masculino,Chile,Paris Stage,45 minutos,No,Sabado
2014,Imagine Dragons,Banda,Masculino,Estados Unidos,Claro Stage,60 minutos,No,Sabado
2014,Inti illimani,Banda,Masculino,chile,Playstation Stage,60 minutos,No,domingo
2014,Jake Bugg,Solista,Masculino,Reino Unido,Playstation Stage,60 minutos,No,Sabado
2014,Joe Vasconcellos,Solista,Masculino,Chile,Claro Stage,60 minutos,No,Sabado
2014,Johnny Marr,Solista,Masculino,Reino Unido,Coca Cola Stage,60 minutos,No,domingo
2014,Jovanotti,Solista,Masculino,Italia,Playstation Stage,60 minutos,No,domingo
2014,Julian Casablancas,Solista,Masculino,Estados Unidos,Claro Stage,60 minutos,No,domingo
2014,Kid Cudi,Solista,Masculino,Estados Unidos,LG G2 Stage,75 minutos,No,domingo
2014,Krewella,Banda,Femenino,Estados Unidos,LG G2 Stage,75 minutos,No,domingo
2014,Lance Herbstong,Banda,Masculino,Estados Unidos,LG G2 Stage,60 minutos,No,Sabado
2014,Lorde,Solista,Femenino,Australia,Playstation Stage,60 minutos,No,domingo
2014,Lucybell,Banda,Masculino,Chile,Coca Cola Stage,60 minutos,no,Sabado
2014,Mista Dijah,Solista,Masculino,chile,Paris Stage,45 minutos,No,domingo
2014,Monsieur Periné,Banda,Mixto,Colombia,Paris Stage,45 minutos,No,domingo
2014,Movimiento Original,Banda,Masculino,Chile,Coca Cola Stage,45 minutos,No,Sabado
2014,Nacao Zumbi,Banda,Masculino,Brazil,Paris Stage,45 minutos,No,Sabado
2014,Nano Stern,Solista,Masculino,Chile,Playstation Stage,60 minutos,No,Sabado
2014,Natalia Contesse,Solista,Femenino,Chile,Kidzapalooza,45 minutos,No,domingo
2014,Natallia Lafourcade,Solista,Femenino,Mexico,Playstation Stage,45 minutos,No,domingo
